team_code,team_name,season,suspicious_reason,percent_players_67_to_71,percent_same_rating,highest_rated_player,highest_ovr,average_ovr,rating_spread,recommended_action
CLE,Cleveland Browns,1973,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),10.9,73.9,Bob McKay,75,72.3,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CLE,Cleveland Browns,1975,>=40% share one rating (72); compressed spread (12),10.9,60.9,Clarence Scott,83,73.4,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1992,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),10.9,49.1,Alan Veingrad,75,72.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1993,compressed spread (10),10.7,39.3,Lawrence Pete,81,72.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CLE,Cleveland Browns,1977,>=40% share one rating (72); compressed spread (10),10.6,61.7,Thom Darden,81,72.7,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1979,>=40% share one rating (72); compressed spread (10),10.6,55.3,Cliff Harris,81,72.7,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1980,>=40% share one rating (72); compressed spread (11),10.6,53.2,Butch Johnson,82,73.2,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1979,>=40% share one rating (72); compressed spread (11),10.6,44.7,Don Latimer,81,72.7,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1983,>=40% share one rating (72); compressed spread (9),10.5,61.4,Don Latimer,80,72.6,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CIN,Cincinnati Bengals,1974,>=40% share one rating (72); compressed spread (9),10.4,72.9,Bernard Jackson,80,72.5,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CIN,Cincinnati Bengals,1996,>=40% share one rating (72); compressed spread (9),10.3,55.2,Bo Orlando,80,72.7,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1997,>=40% share one rating (72); compressed spread (9),10.3,43.1,Steve Atwater,80,72.8,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1989,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),10.2,59.3,Dave Widell,75,72.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1998,>=40% share one rating (72),10.2,54.2,Deion Sanders,98,73.2,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1976,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),10.2,51,Bill Bain,75,72.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1966,>=40% share one rating (72); compressed spread (10),10,52,Max Wetterstein,81,72.7,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1991,compressed spread (10),9.8,37.3,Greg Kragen,81,73.1,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1994,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),9.8,41,Don Maggs,75,72.6,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CLE,Cleveland Browns,1982,>=40% share one rating (72); compressed spread (9),9.6,67.3,Clarence Scott,80,72.5,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1965,>=40% share one rating (72); compressed spread (10),9.5,64.3,Bob Hayes,81,72.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CLE,Cleveland Browns,1988,>=40% share one rating (72); compressed spread (10),9.3,64.8,Michael Dean Perry,81,72.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1965,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),9.3,55.8,Bob Breitenstein,75,72.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1978,>=40% share one rating (74); compressed spread (11),9.3,61.1,Ernie Holmes,81,73.8,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
SEA,Seattle Seahawks,1981,>=40% share one rating (75); compressed spread (5); no player >=80 (top 76),9.3,63,Dave Krieg,76,74.4,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1994,>=40% share one rating (72),9.1,60,Larry Allen,96,72.8,25,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1993,>=40% share one rating (72); compressed spread (9),9.1,47.3,Steve Atwater,80,72.7,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1977,>=40% share one rating (72); compressed spread (10),8.9,53.3,Billy Joe DuPree,81,73,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1997,>=40% share one rating (72),8.9,48.2,Deion Sanders,98,73.6,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1991,>=40% share one rating (73); compressed spread (9),8.8,43.9,Bennie Blades,80,72.9,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1994,>=40% share one rating (73); compressed spread (12),8.8,40.4,Robert Porcher,83,73.1,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1993,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),8.6,56.9,Dale Hellestrae,75,72.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1970,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),8.2,63.3,Bobby Howfield,75,72.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TB,Tampa Bay Buccaneers,1981,>=40% share one rating (76); compressed spread (10),8.2,42.9,Cedric Brown,81,75,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
GB,Green Bay Packers,1975,>=40% share one rating (73); compressed spread (10),8,60,Al Matthews,80,72.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1989,>=40% share one rating (72); compressed spread (9),7.7,48.1,Greg Kragen,80,72.8,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1998,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),7.3,49.1,Harry Swayne,75,72.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1984,>=40% share one rating (72); compressed spread (9),7.3,41.8,Alvin Hall,80,72.8,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
CLE,Cleveland Browns,1984,>=40% share one rating (72); compressed spread (10),7.1,71.4,Bob Golic,81,72.6,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1968,>=40% share one rating (72); compressed spread (5); no player >=80 (top 75),7,50.9,Mike Current,75,72.5,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1965,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),7,51.2,Daryl Sanders,75,72.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
GB,Green Bay Packers,1985,>=40% share one rating (73); compressed spread (10),7,40.4,Mark Murphy,80,72.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1970,>=40% share one rating (72); compressed spread (11),6.8,50,Herb Adderley,82,73.4,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1973,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),6.5,54.3,Jim Turner,75,72.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1981,>=40% share one rating (72); compressed spread (10),6.4,48.9,Don Latimer,81,72.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1971,>=40% share one rating (72); compressed spread (9),6.3,52.1,Charlie Greer,80,72.8,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
GB,Green Bay Packers,1988,>=40% share one rating (73); compressed spread (10),6.3,50.8,Ken Stills,80,72.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
PHI,Philadelphia Eagles,1977,compressed spread (5); no player >=80 (top 76),6.1,36.7,Dennis Nelson,76,74.3,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LAC,Los Angeles Chargers,1979,>=40% share one rating (73); compressed spread (4); no player >=80 (top 75),6,50,Billy Shields,75,73.1,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TEN,Tennessee Titans,1977,>=40% share one rating (76); compressed spread (10),6,50,Curley Culp,81,75.3,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYG,New York Giants,1986,>=40% share one rating (74),5.9,51,Lawrence Taylor,99,74.7,28,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1981,>=40% share one rating (74); compressed spread (11),5.8,59.6,Richard Bishop,81,74,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NO,New Orleans Saints,1972,>=40% share one rating (74); compressed spread (4); no player >=80 (top 75),5.7,56.6,Archie Manning,75,73.9,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
SEA,Seattle Seahawks,1985,>=40% share one rating (75); compressed spread (11),5.6,57.4,Joe Nash,81,74.8,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NO,New Orleans Saints,1978,>=40% share one rating (74); compressed spread (10),5.5,60,Ray Brown,81,74.1,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1991,>=40% share one rating (72); compressed spread (9),5.4,55.4,Ray Horton,80,72.7,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1990,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),5.4,66.1,Darrell Hamilton,75,72.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1995,>=40% share one rating (72),5.3,59.6,Deion Sanders,98,73.3,27,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
IND,Indianapolis Colts,1988,>=40% share one rating (73); compressed spread (5); no player >=80 (top 75),5.3,50.9,Brian Baldinger,75,73,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
MIA,Miami Dolphins,1988,>=40% share one rating (74); compressed spread (10),5.3,52.6,Brian Sochia,81,74,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1983,>=40% share one rating (74); compressed spread (10),5.3,64.9,Dennis Owens,81,74.2,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
PHI,Philadelphia Eagles,1989,>=40% share one rating (75),5.2,46.6,Reggie White,98,74.7,28,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
MIN,Minnesota Vikings,1990,>=40% share one rating (74),5.1,57.6,John Randle,93,74.1,23,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1992,>=40% share one rating (73); compressed spread (10),5,45,Jerry Ball,81,73.1,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
WAS,Washington Commanders,1988,>=40% share one rating (76); compressed spread (10),5,66.7,Todd Bowles,81,75.6,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYJ,New York Jets,1995,>=40% share one rating (75); compressed spread (7); no player >=80 (top 77),4.8,50,Nick Lowery,77,74.4,7,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
SF,San Francisco 49ers,1968,>=40% share one rating (75); compressed spread (11),4.7,53.5,Clifton McNeil,82,75.4,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DAL,Dallas Cowboys,1972,>=40% share one rating (72); compressed spread (10),4.4,60,Bob Lilly,81,73,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1970,>=40% share one rating (72); compressed spread (12),4.4,42.2,Bobby Williams,83,73.2,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
GB,Green Bay Packers,1969,>=40% share one rating (73); compressed spread (11),4.4,55.6,Boyd Dowler,81,73.4,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
GB,Green Bay Packers,1968,>=40% share one rating (73); compressed spread (11),4.3,52.2,Marv Fleming,81,73.3,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
GB,Green Bay Packers,1971,>=40% share one rating (73); compressed spread (11),4.3,40.4,Al Matthews,82,73.9,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
KC,Kansas City Chiefs,1967,>=40% share one rating (73); compressed spread (6); no player >=80 (top 76),4.3,53.2,Jan Stenerud,76,73,6,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LV,Las Vegas Raiders,1976,>=40% share one rating (73); compressed spread (10),4.3,41.3,Dave Rowe,81,73.7,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
MIA,Miami Dolphins,1970,>=40% share one rating (74); compressed spread (10),4.3,46.8,Dick Anderson,80,73.6,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
MIN,Minnesota Vikings,1977,>=40% share one rating (74); compressed spread (12),4.3,44.7,Ahmad Rashad,82,74.1,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1972,>=40% share one rating (74); compressed spread (11),4.3,59.6,Dave Rowe,81,74,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYG,New York Giants,1967,>=40% share one rating (75); compressed spread (11),4.3,44.7,Del Shofner,82,74.7,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
SEA,Seattle Seahawks,1976,>=40% share one rating (75); compressed spread (10),4.3,61.7,Al Matthews,81,74.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
SF,San Francisco 49ers,1969,>=40% share one rating (75); compressed spread (7); no player >=80 (top 77),4.3,61.7,Jon Kilgore,77,75,7,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
STL,St. Louis Rams,1969,compressed spread (11),4.3,38.3,Jack Snow,82,75.3,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LAC,Los Angeles Chargers,1976,>=40% share one rating (73); compressed spread (10),4.2,58.3,Chris Fletcher,80,73.3,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYG,New York Giants,1971,compressed spread (11),4.2,39.6,Coleman Zeno,82,74.6,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1975,>=40% share one rating (72); compressed spread (5); no player >=80 (top 75),4.1,49,Craig Hertwig,75,72.5,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LV,Las Vegas Raiders,1971,>=40% share one rating (73); compressed spread (11),4.1,40.8,George Atkinson,81,73.5,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1976,>=40% share one rating (72); compressed spread (5); no player >=80 (top 75),4,54,Craig Hertwig,75,72.5,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1973,>=40% share one rating (74); compressed spread (11),4,52,Darryl Stingley,82,74.3,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NO,New Orleans Saints,1979,>=40% share one rating (74); compressed spread (7); no player >=80 (top 77),4,52,Garo Yepremian,77,74,7,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYG,New York Giants,1973,compressed spread (7); no player >=80 (top 77),4,36,Pete Gogolak,77,74.3,7,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYJ,New York Jets,1974,>=40% share one rating (75); compressed spread (5); no player >=80 (top 76),4,52,Gordie Browne,76,74.4,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
PHI,Philadelphia Eagles,1975,>=40% share one rating (75); compressed spread (10),4,64,Bill Bradley,81,74.9,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
PIT,Pittsburgh Steelers,1968,>=40% share one rating (75); compressed spread (5); no player >=80 (top 76),4,60,Bobby Walden,76,74.6,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
PIT,Pittsburgh Steelers,1977,>=40% share one rating (75); compressed spread (12),4,44,J.T. Thomas,82,75,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TEN,Tennessee Titans,1972,>=40% share one rating (76); compressed spread (5); no player >=80 (top 76),4,42,Allen Aldridge,76,75,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TEN,Tennessee Titans,1976,>=40% share one rating (76); compressed spread (12),4,52,Billy Johnson,82,75.6,12,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TEN,Tennessee Titans,1990,>=40% share one rating (76); compressed spread (6); no player >=80 (top 77),4,66,Greg Montgomery,77,75.4,6,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LAC,Los Angeles Chargers,1972,>=40% share one rating (73); compressed spread (5); no player >=80 (top 75),3.9,41.2,Ernie Wright,75,73.3,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NO,New Orleans Saints,1968,>=40% share one rating (74); compressed spread (6); no player >=80 (top 77),3.9,49,Charlie Durkee,77,74.2,6,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NO,New Orleans Saints,1975,>=40% share one rating (74); compressed spread (10),3.9,49,Paul Seal,81,74.1,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYJ,New York Jets,1979,compressed spread (5); no player >=80 (top 76),3.9,39.2,Chris Ward,76,74.2,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TB,Tampa Bay Buccaneers,1977,>=40% share one rating (75); compressed spread (10),3.9,41.2,Bill Kollar,81,75.3,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TEN,Tennessee Titans,1980,>=40% share one rating (76); compressed spread (10),3.9,62.7,Mike Reinfeldt,81,75.6,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TEN,Tennessee Titans,1991,>=40% share one rating (76); compressed spread (11),3.9,70.6,Bubba McDowell,81,75.5,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1983,>=40% share one rating (72); compressed spread (5); no player >=80 (top 76),3.8,47.2,Eddie Murray,76,72.6,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
KC,Kansas City Chiefs,1975,>=40% share one rating (73); compressed spread (11),3.8,50.9,Billy Masters,81,73.4,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LAC,Los Angeles Chargers,1980,>=40% share one rating (73); compressed spread (4); no player >=80 (top 75),3.8,67.3,Billy Shields,75,73.1,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LV,Las Vegas Raiders,1978,>=40% share one rating (73); compressed spread (11),3.8,53.8,Mike McCoy,81,73.4,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NO,New Orleans Saints,1982,>=40% share one rating (74); compressed spread (10),3.8,59.6,Derland Moore,81,74.4,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYG,New York Giants,1990,>=40% share one rating (74),3.8,42.3,Lawrence Taylor,99,74.8,28,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
PHI,Philadelphia Eagles,1971,>=40% share one rating (75); compressed spread (10),3.8,67.3,Bill Bradley,81,75,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
PHI,Philadelphia Eagles,1978,>=40% share one rating (75); compressed spread (10),3.8,49.1,Ken Clarke,81,74.7,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
TEN,Tennessee Titans,1982,>=40% share one rating (76); compressed spread (11),3.8,61.5,Daryle Skaugstad,81,75.5,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1982,>=40% share one rating (74); compressed spread (4); no player >=80 (top 75),3.7,55.6,Brian Holloway,75,73.7,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1984,>=40% share one rating (74); compressed spread (6); no player >=80 (top 76),3.7,64.8,Tony Franklin,76,73.7,6,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NYJ,New York Jets,1991,compressed spread (5); no player >=80 (top 76),3.7,38.9,Brett Miller,76,74.2,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DEN,Denver Broncos,1996,>=40% share one rating (72); compressed spread (9),3.6,43.6,Steve Atwater,80,72.9,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1980,>=40% share one rating (72); compressed spread (4); no player >=80 (top 75),3.6,60.7,Chris Dieterich,75,72.5,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1986,>=40% share one rating (72),3.6,51.8,Bill Gay,83,72.9,13,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
DET,Detroit Lions,1990,>=40% share one rating (72); compressed spread (5); no player >=80 (top 75),3.6,47.3,Eric Sanders,75,72.5,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
GB,Green Bay Packers,1983,>=40% share one rating (73); compressed spread (11),3.6,52.7,Johnnie Gray,81,73,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
KC,Kansas City Chiefs,1982,>=40% share one rating (73); compressed spread (10),3.6,57.1,Lloyd Burruss,80,73.2,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
LAC,Los Angeles Chargers,1974,>=40% share one rating (73); compressed spread (4); no player >=80 (top 75),3.6,49.1,Brian Vertefeuille,75,73.1,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
MIN,Minnesota Vikings,1989,>=40% share one rating (74),3.6,66.1,Chris Doleman,92,74,21,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NE,New England Patriots,1993,>=40% share one rating (74); compressed spread (11),3.6,62.5,Tim Goad,81,74.1,11,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
NO,New Orleans Saints,1973,>=40% share one rating (74); compressed spread (10),3.6,52.7,Johnny Fuller,81,74.4,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
